company,linkedin_url,time cost,msg,success
Liberty Mutual Insurance,https://www.linkedin.com/company/liberty-mutual-insurance,2461,,true
"PNC Bank, N.A",https://www.linkedin.com/company/pnc-bank-n.a,2470,,true
PPG Industries,,2483,no available result,false
Sharp Business Solutions,https://www.linkedin.com/company/sharp-business-solutions-limited,2490,,true
The Perfect Little Life,https://www.linkedin.com/company/paia-consulting,2497,,true
Next Gen Venture Partners,https://www.linkedin.com/company/nextgen-venture-partners,2507,,true
Mead Johnson Nutrition,https://www.linkedin.com/company/mead-johnson-nutrition,2515,,true
Fall Festival,https://www.linkedin.com/company/fall-for-dance-north,2522,,true
Selling ad space for a woman's magazine,,2531,no available result,false
St Maria Goretti's Schools,https://www.linkedin.com/company/st-maria-goretti-parish,2538,,true
"Embassy of the Republic of Indonesia, Budapest",https://www.linkedin.com/company/embassy-of-azerbaijan-usa,2547,,true
"Costco Wholesale, Costco, Inc",https://www.linkedin.com/company/costco-wholsale,2555,,true
Catholic University of America,https://www.linkedin.com/school/the-catholic-university-of-america/,2562,,true
Saint Maria Goretti School PTO,https://www.linkedin.com/company/st-maria-goretti-parish,2570,,true
Copper State Communications,https://www.linkedin.com/company/copper-state-communications,2578,,true
Canon USA,https://www.linkedin.com/company/canonusa,2586,,true
"Advantage Solutions Baltimore, State",,2593,no available result,false
Theresa's Twists,,2602,no available result,false
Atlanitc-IT.net,https://www.linkedin.com/company/atlantic-it.net,2612,,true
VIANT CORPORATION,,2624,no available result,false
"PNC Bank, N.A.",https://www.linkedin.com/company/pnc-bank-n.a,2632,,true
"Northwest Airlines, Inc",https://www.linkedin.com/company/northwest-airlines,2639,,true
Zango,https://www.linkedin.com/company/zango-canberra,2647,,true
LEGACY INTERACTIVE,,2655,no available result,false
LIBERTY UNIVERSITY REC CENTERS,,2663,no available result,false
Citi Mortgage  ,https://www.linkedin.com/company/citi-mortgage,2670,,true
Blinkx,https://www.linkedin.com/company/blinx,2677,,true
OGNIBENE HYDRAULIC COMPONENTS,https://www.linkedin.com/company/ognibene-power-spa,2685,,true
AppDynamics,,2700,no available result,false
FreeMarkets,https://www.linkedin.com/company/freemarkets-inc,2707,,true
Mdv Nash Finch,,2715,no available result,false
Earthjustice,https://www.linkedin.com/feed/,2724,,true
Goldman Sachs & Co,https://www.linkedin.com/company/goldman-sachs,2730,,true
The Urman Company,https://www.linkedin.com/company/urman,2737,,true
"Lowe's Companies, Inc",https://www.linkedin.com/company/lowe%27s-home-improvement,2745,,true
"Henkels & McCoy, Inc",https://www.linkedin.com/company/henkels-&-mccoy-group-inc.,2753,,true
"NOMADIX, INC",https://www.linkedin.com/company/nomadix,2761,,true
Bulrush Software,https://www.linkedin.com/company/bulrush-agritech,2769,,true
KPMG Consulting  ,https://www.linkedin.com/company/kpmg,2777,,true
Fleming Island,,2784,no available result,false
"COMPUTER ASSOCIATES INTERNATIONAL, INC",,2798,no available result,false
"New Force Magnetics, Inc",,2811,no available result,false
TLC Marketing Worldwide,https://www.linkedin.com/company/tlc-marketing,2819,,true
Nexistant,,2832,no available result,false
Aircall,https://www.linkedin.com/company/aircall,2841,,true
GRAVITY TRAINING ZONE  ,,2848,no available result,false
Mesa Electric Co,,2856,no available result,false
GrowMyFirm.Online,https://www.linkedin.com/company/growmyfirmonline,2864,,true
NTT Docomo,https://www.linkedin.com/company/ntt-docomo,2872,,true
ADECCO USA,https://www.linkedin.com/company/adecco-usa-inc,2879,,true
Janssen Sports Leadership Academy,,2891,no available result,false
Lifetime Fitness,https://www.linkedin.com/company/lifetime-fitness-trainers-inc,2899,,true
Dietrich Metal Framing,https://www.linkedin.com/company/dietrich-metal-framing,2906,,true
ALLOVUE,https://www.linkedin.com/company/allovue,2913,,true
EFFICACY SOLUTIONS,https://www.linkedin.com/company/efficacy-solutions-llc,2921,,true
PANTOPIC SECURITY,,2935,no available result,false
Advanced Tissue,https://www.linkedin.com/company/advanced-tissue,2944,,true
Allergan Inc,https://www.linkedin.com/company/allergan,2951,,true
Austin,https://www.linkedin.com/company/city-of-austin,2958,,true
CHANNELXPERTS,https://www.linkedin.com/company/channelxperts,2966,,true
MARKLOGIC,https://www.linkedin.com/company/marklogic,2973,,true
Utter Group Incorporated,,2981,no available result,false
MetricStream Inc,https://www.linkedin.com/company/metricstream,2988,,true
"Agilysys, Inc",https://www.linkedin.com/company/agilysys,3006,,true
Harland Technology Services,https://www.linkedin.com/company/harland-technology-services,3015,,true
The Professional Education Institute,https://www.linkedin.com/company/the-professional-education-institute-inc.,3022,,true
HSU Builders,https://www.linkedin.com/company/hsu-development-inc-,3029,,true
Graphite,,3036,no available result,false
LANDESK SOFWARE,,3049,no available result,false
Hyland,https://www.linkedin.com/company/hyland-software,3059,,true
Sheraton Crystal City,,3067,no available result,false
REME,https://www.linkedin.com/company/royal-electrical-mechanical-engineers-reme,3075,,true
LEMONLIGHT MEDIA,https://www.linkedin.com/company/lemonlight-media,3083,,true
"TSF, Greater Los Angeles Area, California",,3090,no available result,false
TANGIBLE MOVEMENT,https://www.linkedin.com/company/tangible-movement,3097,,true
ONEPIECE WORK,,3109,no available result,false
GROUPLINK SOFTWARE,https://www.linkedin.com/company/grouplink,3116,,true
"NOVELL, INC",https://www.linkedin.com/company/novell,3124,,true
ENVOY,https://www.linkedin.com/company/envoy-inc,3132,,true
RECOVERY WELLNESS GROUP,https://www.linkedin.com/company/sage-recovery-&-wellness-center,3140,,true
UNICOM Government Inc,https://www.linkedin.com/company/unicomgov,3148,,true
"Blue Science, LLC",https://www.linkedin.com/company/blue-science,3158,,true
AGILITI HEALTH,https://www.linkedin.com/company/agilitihealth,3168,,true
Richemont,https://www.linkedin.com/company/richemont,3175,,true
NECASA,,3183,no available result,false
Dynamic BDC,https://www.linkedin.com/company/dynamic-bdc,3190,,true
CARECREDIT,https://www.linkedin.com/company/carecredit,3198,,true
Ridge IT,https://www.linkedin.com/company/ridgeitcorp,3206,,true
SENTARA HEALTHCARE,https://www.linkedin.com/company/sentara-healthcare,3215,,true
